Product,Price,Shades,Number of Shades,Description,Types,Category
Powder Kiss Liquid Lipcolour ,$24.00,"['BurningLove', 'SorryNotSorry', 'MullItOver', 'ResortSeason', 'Billion$Smile', 'MakeLoveToTheCamera', 'ALittleTamed', 'ModelOffDuty', 'DevotedToChili', 'GotACallback', '¡Escándalo!', 'M·A·Csmash', 'OverTheTaupe', 'MakeItFashun!', 'MoreTheMehr-ier', 'Crossfade', 'Date-Maker']",17,"Moisture-Matte Liquid Lipcolour, Soft-Focus/Blurred Colour, 10-Hour Weightless Moisture",Liquid Lipsitck,Lips
Retro Matte Liquid Lipcolour Metallics,$22.00,"['LoveWeapon', 'Gemz&Roses', 'MetallicRose', 'PearlPunk', ""SoftlyRockin'"", 'Quartzette', 'SilverSpoon']",7,"Liquid Lipstick, Matte Metallic Finish, Long-Lasting",Liquid Lipsitck,Lips
Grand Illusion Glossy Liquid Lipcolour,$22.00,"['SpoilYourself', 'Goldieloxxed', 'RubyPrincess', ""JustHustlin'"", ""It'SJustCandy!"", 'AutumnRusset', 'PartySparkle', ""Let'sRock"", 'PearlyGirl', 'PinkTrip', ""Queen'sViolet"", 'RaveBunny', 'SpaceBubble', 'TwinkleTwink']",14,"Holographic Shine, Full Coverage, Cooling Sensation",Liquid Lipsitck,Lips
Patent Paint Lip Lacquer,$22.00,"['SlickFlick', 'EternalSunshine', 'LatexLove', 'RedEnamel', 'MagicMirror', 'PatentPleasure', 'LacqueredUp', 'PolishedPrize', 'MajorGlazer', 'PVCYaLater', 'VinylUnderground']",11,"Non-Sticky 3D Shine, Weightless Saturated Colour, Non-Bleeding",Liquid Lipsitck,Lips
Prep + Prime Lip,$19.00,[],0,"Hydrating, Prevents Feathering, Retexturizing",Liquid Lipsitck,Lips
Lip Pencil,$18.00,"['Burgundy', 'Vino', 'Mahogany', 'Heroine', 'Chicory', 'Brick', 'Beet', 'Auburn', 'Hover', 'Stripdown', 'TalkingPoints', 'Half-Red', 'Oak', 'Magenta', 'CandyYum-Yum', 'Cork', 'BoldlyBare', 'Cherry', 'Chestnut', 'CyberWorld', 'Dervish', 'EdgetoEdge', 'Nightmoth', 'Plum', 'RubyWoo', 'Soar', 'Spice', 'Stone', 'Subculture', 'Whirl']",30,"Creamy, Professional, Artistry",Liquid Lipsitck,Lips
Lip Scrubtious,$18.00,"['CandiedNectar', 'FruitofPassion', 'SweetVanilla']",3,"Exfoliating, Hydrating, 3 Flavours",Liquid Lipsitck,Lips
Lip Conditioner (Tube),$18.00,[],0,"Hydrating, Nourishing, Conditioning",Liquid Lipsitck,Lips
Lipglass,$18.00,"['AllThingsMagical', 'CandyBox', 'Cultured', 'Nymphette', 'Dreamy', 'Prrr', 'GoodJuju', 'MagicallyDelightful', 'LycheeLuxe', 'MysticPowers', 'OysterGirl', 'VeryGoLightly', 'C-Thru', 'Spite', 'OhBaby', 'ElementalForces', 'Lust', 'BittersweetMe', 'Spice', 'ShapeshiftingPeach', 'Explicit', 'RubyWoo', 'Heroine', 'CandyYum-Yum', 'LoveChild', 'Impassioned', 'ShowingSkin', 'LoveNectar', 'DangerousCurves', 'PrettyPeppa', 'FashionPunch', 'Primordial', 'Low-Cut']",33,"Glass-Like Shine, High Coverage, M·A·C Heritage",Lip Gloss,Lips
Powerglass Plumping Lip Gloss,$21.00,"['PlumpUpTheJam', 'SeriouslyStoked', 'ComicBookEnding', 'PleasedAsPunch', 'Gee,That’sSwell!', 'Can’tBurstThisBubble']",6,"Plumps Lips Instantly/Over Time, Sheer Luscious Colour, Hydrates",Lip Gloss,Lips
